production_companies_nombres,budget_per_company,revenue_per_company,return_per_company,count_movies
duke studios,844915.7626949387,2241869.6,0.5306729515146935,1
dulce compania,704096.4689124489,1868224.6666666667,0.44222745959557797,1
dulciné films,2816385.8756497954,7472898.666666667,1.7689098383823119,2
dull boy pictures,2112289.4067373467,5604674.0,1.326682378786734,1
duly noted,1556144.7033686733,8407011.0,6.268015459026011,2
dumb films,1056144.7033686733,2802337.0,0.663341189393367,1
dumbdumb,11666666.666666666,57988336.666666664,1.6568096190476191,1
dummett films,2112289.4067373467,5604674.0,1.326682378786734,1
dummy productions llc,2112289.4067373467,5604674.0,1.326682378786734,1
duna televízió,2112289.4067373467,5604674.0,1.326682378786734,1
dunamis cinematografica,1056144.7033686733,2802337.0,0.663341189393367,1
dunav film,2112289.4067373467,5604674.0,1.326682378786734,1
dundee entertainment,2464337.641193571,4033497.8333333335,0.9547692660445122,2
dune entertainment,987598096.382364,2235106270.701407,66.55760812117595,75
dune entertainment iii,376506746.03174603,880910174.3559524,19.68066351310063,33
dune films,97748414.30073814,129768538.43333334,5.392463993823814,12
dune vision,768105.2388135806,2038063.2727272727,0.4824299559224487,2
dune/canal+,4224578.813474693,11209348.0,2.653364757573468,1
dunhill cinematografica,704096.4689124489,1868224.6666666667,0.44222745959557797,1
dunulf productions,1800000.0,1050193.8,0.058344099999999996,1
duo art productions,10049157.626949387,24344784.8,5.547490615146936,3
duo films,3520482.3445622446,9341123.333333334,2.21113729797789,2
duplass brothers productions,34151148.16323531,90584385.16666667,24.18905508821249,12
duque films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
duran,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
durga entertainment,1056144.7033686733,2802337.0,0.663341189393367,1
durrant fox productions inc.,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dusk,2112289.4067373467,5604674.0,1.326682378786734,1
dussault,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dutch european,2112289.4067373467,5604674.0,1.326682378786734,1
dutch filmworks,2112289.4067373467,5604674.0,1.326682378786734,1
dutch independent,4224578.813474693,11209348.0,2.653364757573468,1
dutch oven,2112289.4067373467,5604674.0,1.326682378786734,1
dutch tilt film,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
duty productions,4224578.813474693,11209348.0,2.653364757573468,1
dv3 productions,3056144.703368673,8407011.0,2.0645097568015283,2
dv8,1056144.7033686733,2802337.0,0.663341189393367,1
dviant films,2715800.66580516,7206009.428571429,1.705734487011515,2
dw studios,4166666.6666666665,27278333.333333332,1.0911333333333333,1
dwango,7040964.689124488,18682246.666666668,4.42227459595578,4
dylan sellers productions,29966666.666666668,77474474.96666667,4.1153831438682476,6
