collection_name,id_list,title_list,return_sum,return_mean
alan davies collection,[59060],['alan davies: live at the lyric'],2.653364757573468,2.653364757573468
alex cross collection,"[9437, 2043, 94348, 9437, 2043]","['kiss the girls', 'along came a spider', 'alex cross', 'kiss the girls', 'along came a spider']",8.664014448148148,1.7328028896296295
alice in wonderland collection,"[12155, 241259]","['alice in wonderland', 'alice through the looking glass']",6.888456044117647,3.4442280220588235
alien collection,"[679, 348, 8077, 8078]","['aliens', 'alien', 'alien³', 'alien: resurrection']",24.958008818216918,6.239502204554229
alien nation collection,"[10128, 81246, 24047, 77348, 81244, 50291]","['alien nation', 'alien nation: the udara legacy', 'alien nation: dark horizon', 'alien nation: body and soul', 'alien nation: the enemy within', 'alien nation: millennium']",15.27651422536734,2.54608570422789
alienation trilogy,"[41050, 5165, 21135]","['la notte', ""l'avventura"", ""l'eclisse""]",7.960094272720403,2.653364757573468
all dogs go to heaven collection,"[19042, 11497, 51985]","['all dogs go to heaven 2', 'all dogs go to heaven', 'an all dogs christmas carol']",6.657735415473951,2.219245138491317
all for ...,[72054],['all for one'],2.653364757573468,2.653364757573468
all hallow's eve collection,[231001],"[""all hallows' eve""]",2.653364757573468,2.653364757573468
"all inclusive, ??? ??? ???????? (?????????)","[238869, 69097, 238869, 69097]","['all inclusive 2', 'all inclusive ili vsyo vklyucheno', 'all inclusive 2', 'all inclusive ili vsyo vklyucheno']",10.613459030293871,2.653364757573468
all of my heart collection,[317121],['all of my heart'],2.653364757573468,2.653364757573468
all stars collectie,"[2764, 76784]","['all stars', 'all stars 2: old stars']",5.306729515146936,2.653364757573468
allan quatermain (1950 series),[43388],"[""king solomon's mines""]",2.653364757573468,2.653364757573468
allan quatermain collection,"[9710, 9838]","['allan quatermain and the lost city of gold', ""king solomon's mines""]",3.5501126407146906,1.7750563203573453
alligator collection,"[33518, 40800]","['alligator', 'alligator 2 - the mutation']",10.126263783750327,5.063131891875163
almighty collection,"[310, 2698]","['bruce almighty', 'evan almighty']",7.045731866071429,3.5228659330357144
alone in the dark collection,"[12142, 12683, 12683]","['alone in the dark', 'alone in the dark 2', 'alone in the dark 2']",5.395770199680561,1.7985900665601868
alpha and omega collection,"[12819, 227425, 258096]","['alpha and omega', 'alpha and omega 2: a howl-iday adventure', 'alpha and omega 3: the great wolf games']",7.271729515146935,2.4239098383823117
alvin and the chipmunks collection,"[6477, 23398, 55301, 258509, 6477]","['alvin and the chipmunks', 'alvin and the chipmunks: the squeakquel', 'alvin and the chipmunks: chipwrecked', 'alvin and the chipmunks: the road chip', 'alvin and the chipmunks']",77.85563443213705,15.571126886427411
always: sunset on third street collection,"[13430, 13430]","['always - sunset on third street', 'always - sunset on third street']",15.648215104697561,7.824107552348781
american addict collection,[252385],['american addict'],2.653364757573468,2.653364757573468
american graffiti collection,"[838, 33258]","['american graffiti', 'more american graffiti']",186.18604978018018,93.09302489009009
american ninja collection,"[12500, 25678, 25682, 25684, 25528]","['american ninja', 'american ninja 2: the confrontation', 'american ninja 3: blood hunt', 'american ninja 5', 'american ninja 4: the annihilation']",21.113153030293873,4.222630606058774
american pie (spin-off) collection,"[8274, 8275, 8277, 26123]","['american pie presents: band camp', 'american pie presents: the naked mile', 'american pie presents: beta house', 'american pie presents: the book of love']",9.081029126646932,2.270257281661733
american pie collection,"[2105, 2770, 8273, 71552]","['american pie', 'american pie 2', 'american wedding', 'american reunion']",39.90062465878788,9.97515616469697
american psycho collection,"[1359, 10726, 1359]","['american psycho', 'american psycho 2: all american girl', 'american psycho']",10.911381711069385,3.6371272370231282
an american girl collection,"[8359, 119893, 338100, 204582, 25778, 18182, 25786, 281506, 37453, 400045]","['kit kittredge: an american girl', 'an american girl: mckenna shoots for the stars', 'grace stirs up success', 'an american girl: saige paints the sky', 'felicity: an american girl adventure', 'an american girl: chrissa stands strong', 'samantha: an american girl holiday', 'isabelle dances into the spotlight', 'molly: an american girl on the home front', 'lea to the rescue']",25.528716426876695,2.5528716426876694
anaconda collection,"[9360, 11237, 14863, 19543, 11237]","['anaconda', 'anacondas: the hunt for the blood orchid', 'anaconda 3: offspring', 'anacondas: trail of blood', 'anacondas: the hunt for the blood orchid']",15.447925248480269,3.089585049696054
analyze collection,"[9535, 9932]","['analyze this', 'analyze that']",3.1277896416666664,1.5638948208333332
anatomy collection,[1698],['anatomy'],2.653364757573468,2.653364757573468
anche gli angeli - collezione,"[11612, 41897]","['even angels eat beans', 'charleston']",5.306729515146936,2.653364757573468
anchorman collection,"[8699, 9965, 109443]","['anchorman: the legend of ron burgundy', 'wake up, ron burgundy: the lost movie', 'anchorman 2: the legend continues']",9.609967672958083,3.2033225576526942
anders matthesen,"[10797, 45783, 16884]","['terkel in trouble', 'anders matthesen: tal for dig selv', 'anders matthesen: anden på coke?']",7.960094272720403,2.653364757573468
angelique collection,[44450],['angelique'],2.653364757573468,2.653364757573468
anglo-zulu war collection,"[14433, 18061]","['zulu', 'zulu dawn']",4.939079043287753,2.4695395216438767
animation runner kuromi (oav collection),"[87636, 134053, 87636, 134053]","['animation runner kuromi', 'animation runner kuromi 2', 'animation runner kuromi', 'animation runner kuromi 2']",10.613459030293871,2.653364757573468
aniskin collection,"[129830, 129830]","['aniskin and fantomas', 'aniskin and fantomas']",5.306729515146936,2.653364757573468
anja & viktor collection,[23289],['love at first hiccough'],2.653364757573468,2.653364757573468
annabelle collection,[250546],['annabelle'],39.272894307692304,39.272894307692304
anne of green gables collection,"[17663, 40724, 25180]","['anne of green gables', 'anne of green gables: the sequel', 'anne of green gables: the continuing story']",15.49704636902447,5.165682123008157
annie collection,"[15739, 21780]","['annie', 'annie: a royal adventure']",3.7945448175734677,1.8972724087867339
annika bengtzon collection,"[100973, 118513, 93230]","['deadline', 'a place in the sun', ""nobel's last will""]",9.043179028235365,3.0143930094117883
another gay movie collection,"[12795, 15706, 12795]","['another gay movie', 'another gay sequel: gays gone wild!', 'another gay movie']",47.490758914634625,15.830252971544875
ant-man collection,[102899],['ant-man'],3.9947074230769233,3.9947074230769233
antboy collection,"[198436, 314285, 314285]","['antboy', 'antboy: revenge of the red fury', 'antboy: revenge of the red fury']",7.960094272720403,2.653364757573468
ants in the pants collection,"[9572, 9478]","['ants in the pants 2', 'ants in the pants']",5.306729515146936,2.653364757573468
apocalypse collection,[77787],['tribulation'],2.653364757573468,2.653364757573468
appleseed collection,"[11633, 269650, 13981, 11633, 13981]","['appleseed', 'appleseed alpha', 'appleseed: ex machina', 'appleseed', 'appleseed: ex machina']",8.252492072720404,1.6504984145440809
arabian nights,"[254736, 254736]","['arabian nights: volume 1, the restless one', 'arabian nights: volume 1, the restless one']",5.306729515146936,2.653364757573468
argo collection,[338312],['argo 2'],2.653364757573468,2.653364757573468
armitage iii collection,"[21769, 21769]","['armitage: dual matrix', 'armitage: dual matrix']",5.306729515146936,2.653364757573468
armour of god collection,"[10975, 10974, 98567, 10975, 10974, 98567]","['armour of god ii: operation condor', 'armour of god', 'chinese zodiac', 'armour of god ii: operation condor', 'armour of god', 'chinese zodiac']",7.268365509518361,1.2113942515863936
arn collection,"[13491, 13522, 13491, 13522]","['arn: the knight templar', ""arn: the kingdom at road's end"", 'arn: the knight templar', ""arn: the kingdom at road's end""]",6.203477398288158,1.5508693495720396
art of the devil collection,"[40127, 40127]","['art of the devil', 'art of the devil']",5.306729515146936,2.653364757573468
arthur and the invisibles collection,"[9992, 26505, 42949]","['arthur and the invisibles', 'arthur and the revenge of maltazard', 'arthur 3: the war of the two worlds']",1.5436859511611063,0.5145619837203688
arthur collection,"[13665, 26044]","['arthur', 'arthur 2: on the rocks']",17.11256792415959,8.556283962079794
assassination classroom collection,"[349176, 349176]","['assassination classroom', 'assassination classroom']",5.306729515146936,2.653364757573468
asterix and obelix (animation) collection,"[11047, 9929, 9385, 8868, 9318, 11625, 9369, 9642, 170522]","['asterix the gaul', 'asterix and cleopatra', 'the twelve tasks of asterix', 'asterix vs. caesar', 'asterix in britain', 'asterix and the big fight', 'asterix conquers america', 'asterix and the vikings', 'asterix: the mansions of the gods']",21.600563011896586,2.4000625568773986
asterix and obelix collection,"[2899, 9564, 2395, 99770, 2899]","['asterix & obelix: mission cleopatra', 'asterix & obelix take on caesar', 'asterix at the olympic games', 'astérix and obélix: god save britannia', 'asterix & obelix: mission cleopatra']",54.549504052317175,10.909900810463435
